"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2015-06-10T22:04:27"	"1433973867"	"Crystals"	"b363b25c-625d-4a90-b47b-38378eb4961a"	"M|O|O|N"	"162c7a95-9b96-4b7a-bac2-6f2c2e2357e7"	"Crystals"	"b363b25c-625d-4a90-b47b-38378eb4961a"	"M|O|O|N"	"162c7a95-9b96-4b7a-bac2-6f2c2e2357e7"
"2015-06-11T00:41:03"	"1433983263"	"Delay"	"0df6d440-a827-47f2-a71e-8a0769287794"	"M|O|O|N"	"162c7a95-9b96-4b7a-bac2-6f2c2e2357e7"	"Delay"	"0df6d440-a827-47f2-a71e-8a0769287794"	"M|O|O|N"	"162c7a95-9b96-4b7a-bac2-6f2c2e2357e7"
"2015-06-17T17:09:47"	"1434560987"	"Dragonaut"	"c67d187d-9304-4ef7-a3c2-7676510da1b8"	"Sleep"	"11bed36a-10ca-43c5-9554-c85ee3eb7de8"	"Dragonaut"	"c67d187d-9304-4ef7-a3c2-7676510da1b8"	"Sleep"	"11bed36a-10ca-43c5-9554-c85ee3eb7de8"
"2015-06-24T00:43:40"	"1435106620"	"Symphony No. 5 in C-Sharp Minor: IV. Adagietto: Sehr langsam"	"712bb681-a43d-4ac6-b0ba-bf317cd600c1"	"Gustav Mahler"	"8d610e51-64b4-4654-b8df-064b0fb7a9d9"	"Symphony No. 5 in C-Sharp Minor: IV. Adagietto: Sehr langsam"	"712bb681-a43d-4ac6-b0ba-bf317cd600c1"	"Gustav Mahler"	"8d610e51-64b4-4654-b8df-064b0fb7a9d9"
"2015-06-24T00:43:53"	"1435106633"	"Alright"	"b5e1e12f-8832-4ba4-b772-de15e2db2009"	"Kendrick Lamar"	"381086ea-f511-4aba-bdf9-71c753dc5077"	"Alright"	"b5e1e12f-8832-4ba4-b772-de15e2db2009"	"Kendrick Lamar"	"381086ea-f511-4aba-bdf9-71c753dc5077"
"2015-06-24T04:06:24"	"1435118784"	"Peacebone"	"07e77f04-cec5-443c-b5c2-081a08509d16"	"Animal Collective"	"0c751690-c784-4a4f-b1e4-c1de27d47581"	"Peacebone"	"07e77f04-cec5-443c-b5c2-081a08509d16"	"Animal Collective"	"0c751690-c784-4a4f-b1e4-c1de27d47581"
"2015-06-24T22:17:11"	"1435184231"	"Sunshine"	"098b1849-aee7-4f13-953c-3e285ed20dd6"	"Bent Knee"	"0a6f98fb-4134-4e0b-bfc2-d9f1e59a8ee6"	"Sunshine"	"098b1849-aee7-4f13-953c-3e285ed20dd6"	"Bent Knee"	"0a6f98fb-4134-4e0b-bfc2-d9f1e59a8ee6"
"2015-06-26T02:10:53"	"1435284653"	"Summertime - Long Version"	""	"Billy Stewart"	"00e737fe-6a38-4401-acd1-707cc0dd1952"	"Summertime - Long Version"	""	"Billy Stewart"	"00e737fe-6a38-4401-acd1-707cc0dd1952"
"2015-06-27T17:55:56"	"1435427756"	"Bohemian Rhapsody - Remastered 2011"	""	"Queen"	"0383dadf-2a4e-4d10-a46a-e9e041da8eb3"	"Bohemian Rhapsody - Remastered 2011"	""	"Queen"	"0383dadf-2a4e-4d10-a46a-e9e041da8eb3"
"2015-06-28T05:06:37"	"1435467997"	"When God Comes Back"	"1316ac5a-6853-4732-a34d-37097dd9244a"	"All Them Witches"	"b574bfea-2359-4e9d-93f6-71c3c9a2a4f0"	"When God Comes Back"	"1316ac5a-6853-4732-a34d-37097dd9244a"	"All Them Witches"	"b574bfea-2359-4e9d-93f6-71c3c9a2a4f0"
"2015-06-28T22:46:39"	"1435531599"	"Alone"	"49f3a5cb-34c1-4599-8cce-099cdc0b7f9f"	"Weedeater"	"700f0813-e644-4d2a-873d-62fb113d1e5d"	"Alone"	"49f3a5cb-34c1-4599-8cce-099cdc0b7f9f"	"Weedeater"	"700f0813-e644-4d2a-873d-62fb113d1e5d"
"2015-06-29T00:36:34"	"1435538194"	"In Bloom"	"5131472f-c64c-476f-8a51-cc37696e32c3"	"Nirvana"	"5b11f4ce-a62d-471e-81fc-a69a8278c7da"	"In Bloom"	"5131472f-c64c-476f-8a51-cc37696e32c3"	"Nirvana"	"5b11f4ce-a62d-471e-81fc-a69a8278c7da"
"2015-06-29T03:26:01"	"1435548361"	"Human Sadness"	"2a05cd9a-3175-439b-af3f-8c23ab88465f"	"Julian Casablancas + The Voidz"	"6a93cb2b-d33a-42fc-a41a-542e3a887ba6"	"Human Sadness"	"2a05cd9a-3175-439b-af3f-8c23ab88465f"	"Julian Casablancas + The Voidz"	"6a93cb2b-d33a-42fc-a41a-542e3a887ba6"
"2015-06-29T21:11:03"	"1435612263"	"The Rocketeer"	"be884bc2-62ad-4f1d-99c0-7a4f185f6efb"	"Foxy Shazam"	"919e82ff-f3f3-4b05-a7e9-c28d1c7ac981"	"The Rocketeer"	"be884bc2-62ad-4f1d-99c0-7a4f185f6efb"	"Foxy Shazam"	"919e82ff-f3f3-4b05-a7e9-c28d1c7ac981"
"2015-07-10T23:46:11"	"1436571971"	"Bang Bang (My Baby Shot Me Down)"	""	"Nico Vega"	"afbfa0c2-f2cb-405a-9695-f9cd886286aa"	"Bang Bang (My Baby Shot Me Down)"	""	"Nico Vega"	"afbfa0c2-f2cb-405a-9695-f9cd886286aa"
"2015-07-13T14:57:08"	"1436799428"	"All Along the Watchtower"	"0043274d-63e9-483c-a317-e13cbfcbe7e3"	"Jimi Hendrix"	"06fb1c8b-566e-4cb2-985b-b467c90781d4"	"All Along the Watchtower"	"0043274d-63e9-483c-a317-e13cbfcbe7e3"	"Jimi Hendrix"	"06fb1c8b-566e-4cb2-985b-b467c90781d4"
"2015-07-19T03:05:20"	"1437275120"	"Stone a Pig"	"0a957ffe-f288-4702-a080-4207b9ae6792"	"Bongzilla"	"fb7659b2-5ceb-45ac-be95-b0c1f832caec"	"Stone a Pig"	"0a957ffe-f288-4702-a080-4207b9ae6792"	"Bongzilla"	"fb7659b2-5ceb-45ac-be95-b0c1f832caec"
